"Product Image","Product Image"
"Extait Modules","Extait Modules"
"My Orders Product Link & Image","My Orders Product Link & Image"
"General Settings","General Settings"
"Enable","Enable"
"Activate or deactivate the module ""My Orders Product Link & Image""","Activate or deactivate the module ""My Orders Product Link & Image"""
"Items Ordered Tab","Items Ordered Tab"
"Display a link","Display a link"
"Select ""Yes"" to display a product link in the tab ""Items ordered"" in an order view","Select ""Yes"" to display a product link in the tab ""Items ordered"" in an order view"
"Display an image","Display an image"
"Select ""Yes"" to display a product image in the tab ""Items ordered"" in an order view","Select ""Yes"" to display a product image in the tab ""Items ordered"" in an order view"
"Invoices Tab","Invoices Tab"
"Select ""Yes"" to display a product link in the tab ""Invoices"" in an order view","Select ""Yes"" to display a product link in the tab ""Invoices"" in an order view"
"Select ""Yes"" to display a product image in the tab ""Invoices"" in an order view","Select ""Yes"" to display a product image in the tab ""Invoices"" in an order view"
"Order Shipment Tab","Order Shipment Tab"
"Select ""Yes"" to display a product link in the tab ""Order Shipment"" in an order view","Select ""Yes"" to display a product link in the tab ""Order Shipment"" in an order view"
"Select ""Yes"" to display a product image in the tab ""Order Shipment"" in an order view","Select ""Yes"" to display a product image in the tab ""Order Shipment"" in an order view"
"Refunds Tab","Refunds Tab"
"Select ""Yes"" to display a product link in the tab ""Refunds"" in an order view","Select ""Yes"" to display a product link in the tab ""Refunds"" in an order view"
"Select ""Yes"" to display a product image in the tab ""Refunds"" in an order view","Select ""Yes"" to display a product image in the tab ""Refunds"" in an order view"
